Date,AAPL
1991/6/4,0.359650981
1991/6/5,0.357834592
1991/6/6,0.350569417
1991/6/7,0.336037335
1991/6/10,0.334221005
1991/6/11,0.326955836
1991/6/12,0.319689807
1991/6/13,0.308791172
1991/6/14,0.310607469
1991/6/17,0.297892544
1991/6/18,0.306974855
1991/6/19,0.303342134
1991/6/20,0.299709685
1991/6/21,0.305158585
1991/6/24,0.303342134
1991/6/25,0.305158574
1991/6/26,0.310607341
1991/6/27,0.30879125
1991/6/28,0.30697485
1991/7/1,0.306974933
1991/7/2,0.306974828
1991/7/3,0.306974825
1991/7/5,0.312424543
1991/7/8,0.328772211
1991/7/9,0.343303423
1991/7/10,0.345119584
1991/7/11,0.341487153
1991/7/12,0.343303445
1991/7/15,0.339670793
1991/7/16,0.33058851
1991/7/17,0.316057292
1991/7/18,0.319689835
1991/7/19,0.328772106
1991/7/22,0.33240469
1991/7/23,0.336037271
1991/7/24,0.328772081
1991/7/25,0.328772098
1991/7/26,0.332404777
1991/7/29,0.328772168
1991/7/30,0.330588405
1991/7/31,0.337854508
1991/8/1,0.334221097
1991/8/2,0.36146715
1991/8/5,0.361467238
1991/8/6,0.354202069
1991/8/7,0.359650936
1991/8/8,0.368733366
1991/8/9,0.366916936
1991/8/12,0.36873332
1991/8/13,0.377815692
1991/8/14,0.397795715
1991/8/15,0.399612057
1991/8/16,0.383264509
1991/8/19,0.360463071
1991/8/20,0.375026829
1991/8/21,0.38230942
1991/8/22,0.393232666
1991/8/23,0.393232653
1991/8/26,0.385950208
1991/8/27,0.385950228
1991/8/28,0.393232706
1991/8/29,0.3877706
1991/8/30,0.385950208
1991/9/3,0.3841298
1991/9/4,0.384129748
1991/9/5,0.375026829
1991/9/6,0.371386103
1991/9/9,0.376848248
1991/9/10,0.384129788
1991/9/11,0.369565912
1991/9/12,0.373206641
1991/9/13,0.364104541
1991/9/16,0.358642459
1991/9/17,0.342258093
1991/9/18,0.35500171
1991/9/19,0.365925045
1991/9/20,0.362283384
1991/9/23,0.36410463
1991/9/24,0.360463014
1991/9/25,0.365925101
1991/9/26,0.365924872
1991/9/27,0.364104579
1991/9/30,0.358642576
1991/10/1,0.358642501
1991/10/2,0.376848303
1991/10/3,0.364104627
1991/10/4,0.349539733
1991/10/7,0.34953963
1991/10/8,0.350450768
1991/10/9,0.351360911
1991/10/10,0.355001788
1991/10/11,0.350450702
1991/10/14,0.356822198
1991/10/15,0.367745368
1991/10/16,0.382309456
1991/10/17,0.385950202
1991/10/18,0.40142531
1991/10/21,0.402335435
1991/10/22,0.404155889
1991/10/23,0.400514261
1991/10/24,0.385950239
1991/10/25,0.376848191
1991/10/28,0.375026911
1991/10/29,0.375027007
1991/10/30,0.378668696
1991/10/31,0.36956571
1991/11/1,0.373206438
1991/11/4,0.369565856
1991/11/5,0.362283342
1991/11/6,0.356822112
1991/11/7,0.353181395
1991/11/8,0.373206612
1991/11/11,0.389591866
1991/11/12,0.395053052
1991/11/13,0.393232533
1991/11/14,0.395052991
1991/11/15,0.396873361
1991/11/18,0.364980068
1991/11/19,0.377754416
