,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
106,AAPL,20190731,213.04,216.42,221.37,211.3,208.78,2.04,69281375,15049688946.01,217.23
107,AAPL,20190730,208.78,208.76,210.16,207.31,209.68,-0.43,33935719,7082248812.42,208.7
108,AAPL,20190729,209.68,208.46,210.64,208.44,207.74,0.93,21673391,4548503540.93,209.87
109,AAPL,20190726,207.74,207.48,209.73,207.14,207.02,0.35,17618875,3668531853.19,208.22
110,AAPL,20190725,207.02,208.89,209.24,206.73,208.67,-0.79,13909563,2890042899.95,207.77
111,AAPL,20190724,208.67,207.67,209.15,207.17,208.84,-0.08,14991567,3122034454.9,208.25
112,AAPL,20190723,208.84,208.46,208.91,207.29,207.22,0.78,18355211,3819939671.63,208.11
113,AAPL,20190722,207.22,203.65,207.23,203.61,202.59,2.29,22277934,4593021602.64,206.17
114,AAPL,20190719,202.59,205.79,206.5,202.36,205.66,-1.49,20929309,4276353853.32,204.32
115,AAPL,20190718,205.66,204.0,205.88,203.7,203.35,1.14,18582161,3810112306.47,205.04
116,AAPL,20190717,203.35,204.05,205.09,203.27,204.5,-0.56,14107450,2881919262.08,204.28
117,AAPL,20190716,204.5,204.59,206.11,203.5,205.21,-0.35,16866817,3453657882.33,204.76
118,AAPL,20190715,205.21,204.09,205.87,204.0,203.3,0.94,16947422,3474404711.63,205.01
119,AAPL,20190712,203.3,202.45,204.0,202.2,201.75,0.77,17595211,3579355064.27,203.43
120,AAPL,20190711,201.75,203.31,204.39,201.71,203.23,-0.73,20191844,4103045295.52,203.2
121,AAPL,20190710,203.23,201.85,203.73,201.56,201.24,0.99,17897137,3634761768.18,203.09
122,AAPL,20190709,201.24,199.2,201.51,198.81,200.02,0.61,20578016,4127474863.21,200.58
123,AAPL,20190708,200.02,200.81,201.4,198.41,204.23,-2.06,25338629,5061345533.22,199.75
124,AAPL,20190705,204.23,203.35,205.08,202.9,204.41,-0.09,17265520,3526398031.61,204.25
125,AAPL,20190703,204.41,203.28,204.44,202.69,202.73,0.83,11362047,2314671783.64,203.72
126,AAPL,20190702,202.73,201.41,203.13,201.36,201.55,0.59,16935219,3426428514.66,202.33
127,AAPL,20190701,201.55,203.17,204.49,200.65,197.92,1.83,27316739,5527258042.56,202.34
128,AAPL,20190628,197.92,198.68,199.5,197.05,199.74,-0.91,31110641,6159661143.94,197.99
129,AAPL,20190627,199.74,200.29,201.57,199.57,199.8,-0.03,20899719,4186730147.76,200.32
130,AAPL,20190626,199.8,197.77,200.99,197.35,195.57,2.16,26067512,5213575649.71,200.0
131,AAPL,20190625,195.57,198.43,199.26,195.29,198.58,-1.52,21070336,4153875571.15,197.14
132,AAPL,20190624,198.58,198.54,200.16,198.17,198.78,-0.1,18220422,3629384345.73,199.19
133,AAPL,20190621,198.78,198.8,200.85,198.15,199.46,-0.34,47800590,9525319648.49,199.27
134,AAPL,20190620,199.46,200.37,200.61,198.03,197.87,0.8,21513989,4287757585.43,199.3
135,AAPL,20190619,197.87,199.68,199.88,197.31,198.45,-0.29,21124235,4188659073.02,198.29
136,AAPL,20190618,198.45,196.05,200.29,195.21,193.89,2.35,26551004,5278161968.98,198.79
137,AAPL,20190617,193.89,192.9,194.96,192.17,192.74,0.6,14669145,2847446805.84,194.11
138,AAPL,20190614,192.74,191.54,193.59,190.3,194.15,-0.73,18761473,3605116660.37,192.16
139,AAPL,20190613,194.15,194.7,196.79,193.6,194.19,-0.02,21674625,4230171754.12,195.17
140,AAPL,20190612,194.19,193.95,195.97,193.38,194.81,-0.32,18253188,3552362435.81,194.62
141,AAPL,20190611,194.81,194.86,196.0,193.6,192.58,1.16,26932883,5242644579.96,194.66
142,AAPL,20190610,192.58,191.81,195.37,191.62,190.15,1.28,26220852,5069395573.2,193.33
143,AAPL,20190607,190.15,186.51,191.92,185.77,185.22,2.66,30684395,5824564329.22,189.82
144,AAPL,20190606,185.22,183.08,185.47,182.15,182.54,1.47,22526313,4140926744.06,183.83
145,AAPL,20190605,182.54,184.28,184.99,181.14,179.64,1.61,29773426,5443809235.69,182.84
146,AAPL,20190604,179.64,175.44,179.83,174.52,173.3,3.66,30967961,5514942031.55,178.09
147,AAPL,20190603,173.3,175.6,177.92,170.27,175.07,-1.01,40396071,7044465205.69,174.38
148,AAPL,20190531,175.07,176.23,177.99,174.99,178.3,-1.81,27043586,4771248765.6,176.43
149,AAPL,20190530,178.3,177.95,179.23,176.67,177.38,0.52,21218411,3776229996.46,177.97
150,AAPL,20190529,177.38,176.42,179.35,176.0,178.23,-0.48,28481165,5057642843.76,177.58
151,AAPL,20190528,178.23,178.92,180.59,177.91,178.97,-0.41,27948161,4999939976.98,178.9
152,AAPL,20190524,178.97,180.2,182.14,178.62,179.66,-0.38,23714688,4272379140.51,180.16
153,AAPL,20190523,179.66,179.8,180.54,177.81,182.78,-1.71,36529735,6550647240.22,179.32
154,AAPL,20190522,182.78,184.66,185.71,182.55,186.6,-2.05,29748555,5464952644.05,183.7
155,AAPL,20190521,186.6,185.22,188.0,184.7,183.09,1.92,28364848,5297767900.11,186.77
156,AAPL,20190520,183.09,183.52,184.35,180.28,189.0,-3.13,38612290,7053264540.78,182.67
157,AAPL,20190517,189.0,186.93,190.9,186.76,190.08,-0.57,32879090,6211419374.32,188.92
158,AAPL,20190516,190.08,189.91,192.47,188.84,190.92,-0.44,33031364,6289667176.06,190.41
159,AAPL,20190515,190.92,186.27,191.75,186.02,188.66,1.2,26544719,5036387934.25,189.73
160,AAPL,20190514,188.66,186.41,189.7,185.41,185.72,1.58,36529676,6866801005.9,187.98
161,AAPL,20190513,185.72,187.71,189.48,182.85,197.18,-5.81,57430622,10722625056.25,186.71
162,AAPL,20190510,197.18,197.42,198.85,192.77,200.72,-1.76,41208711,8074216427.17,195.93
163,AAPL,20190509,200.72,200.4,201.68,196.66,202.9,-1.07,34908606,6957152872.18,199.3
164,AAPL,20190508,202.9,201.9,205.34,201.75,202.86,0.02,26339504,5367240239.34,203.77
165,AAPL,20190507,202.86,205.88,207.42,200.82,208.48,-2.7,38763700,7890389898.7,203.55
166,AAPL,20190506,208.48,204.29,208.84,203.5,211.75,-1.54,32443114,6727439806.47,207.36
167,AAPL,20190503,211.75,210.89,211.84,210.23,209.15,1.24,20892379,4411325751.35,211.15
168,AAPL,20190502,209.15,209.84,212.65,208.13,210.52,-0.65,31996325,6726008271.27,210.21
169,AAPL,20190501,210.52,209.88,215.31,209.23,200.67,4.91,64827329,13794095850.28,212.78
170,AAPL,20190430,200.67,203.06,203.4,199.11,204.61,-1.93,46534922,9347218493.56,200.86
171,AAPL,20190429,204.61,204.4,205.97,203.86,204.3,0.15,22204715,4552042293.08,205.0
172,AAPL,20190426,204.3,204.9,205.0,202.12,205.28,-0.48,18649102,3806089818.94,204.09
173,AAPL,20190425,205.28,206.83,207.76,205.12,207.16,-0.91,18543208,3821555087.59,206.09
174,AAPL,20190424,207.16,207.36,208.48,207.05,207.48,-0.15,17540610,3642732149.26,207.67
175,AAPL,20190423,207.48,204.43,207.75,203.9,204.53,1.44,23322993,4816205284.63,206.5
176,AAPL,20190422,204.53,202.83,204.94,202.34,203.86,0.33,19439547,3970070839.79,204.23
177,AAPL,20190418,203.86,203.12,204.15,202.52,203.13,0.36,24195766,4924332216.58,203.52
178,AAPL,20190417,203.13,199.54,203.38,198.61,199.25,1.95,28906782,5834304952.59,201.83
179,AAPL,20190416,199.25,199.46,201.37,198.56,199.23,0.01,25696387,5137332440.47,199.92
180,AAPL,20190415,199.23,198.58,199.85,198.01,198.87,0.18,17536645,3489566307.65,198.99
